Creation Time: 2023_2_20-14-0-0
14-0-0 | [INFO] TraderPlusCore - Started !
14-0-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_4\Veículos Esportivos.json
14-0-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_4\Pickups e Suvs.json
14-0-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_4\Veículos Militares.json
14-0-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_4\Motorhomes.json
14-0-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_4\Peças.json
14-0-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_4\Vanilla Parts.json
14-0-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_4\Esportivos Parts.json
14-0-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_4\Pickups e Suvs Parts.json
14-0-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_4\Militares Parts.json
14-0-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_4\Motorhomes Parts.json
14-0-29 | [INFO] SetTradersSpawner: Started
14-0-29 | [INFO] obj created: SurvivorF_Irena
14-0-29 | [INFO] TraderPlayer created and added!: 
14-0-29 | [INFO] obj created: SurvivorM_Seth
14-0-29 | [INFO] TraderPlayer created and added!: 
14-0-29 | [INFO] obj created: SurvivorF_Keiko
14-0-29 | [INFO] TraderPlayer created and added!: 
14-0-29 | [INFO] obj created: SurvivorF_Frida
14-0-29 | [INFO] TraderPlayer created and added!: 
14-0-29 | [INFO] obj created: SurvivorM_Peter
14-0-29 | [INFO] TraderPlayer created and added!: 
14-0-29 | [INFO] obj created: TraderPlus_BANK_ATM
14-0-29 | [INFO] TraderStatic created and added!: 
14-0-29 | [INFO] obj created: TraderPlus_BANK_ATM
14-0-29 | [INFO] TraderStatic created and added!: 
14-0-29 | [INFO] obj created: SurvivorF_Irena
14-0-29 | [INFO] TraderPlayer created and added!: 
14-0-29 | [INFO] obj created: SurvivorM_Seth
14-0-29 | [INFO] TraderPlayer created and added!: 
14-0-29 | [INFO] obj created: SurvivorF_Keiko
14-0-29 | [INFO] TraderPlayer created and added!: 
14-0-29 | [INFO] obj created: SurvivorF_Frida
14-0-29 | [INFO] TraderPlayer created and added!: 
14-0-29 | [INFO] obj created: SurvivorM_Peter
14-0-29 | [INFO] TraderPlayer created and added!: 
14-0-29 | [INFO] obj created: SurvivorM_Peter
14-0-29 | [INFO] TraderPlayer created and added!: 
14-0-29 | [INFO] obj created: SurvivorF_Irena
14-0-29 | [INFO] TraderPlayer created and added!: 
14-0-29 | [INFO] obj created: SurvivorM_Seth
14-0-29 | [INFO] TraderPlayer created and added!: 
14-0-29 | [INFO] obj created: SurvivorF_Keiko
14-0-29 | [INFO] TraderPlayer created and added!: 
14-0-29 | [INFO] obj created: SurvivorF_Frida
14-0-29 | [INFO] TraderPlayer created and added!: 
14-0-29 | [INFO] obj created: TraderPlus_BANK_ATM
14-0-29 | [INFO] TraderStatic created and added!: 
14-0-29 | [INFO] obj created: TraderPlus_BANK_ATM
14-0-29 | [INFO] TraderStatic created and added!: 
14-0-29 | [INFO] obj created: TraderPlus_BANK_ATM
14-0-29 | [INFO] TraderStatic created and added!: 
14-0-29 | [INFO] obj created: TraderPlus_BANK_ATM
14-0-29 | [INFO] TraderStatic created and added!: 
14-0-29 | [INFO] obj created: TraderPlus_BANK_ATM
14-0-29 | [INFO] TraderStatic created and added!: 
14-0-29 | [INFO] obj created: TraderPlus_BANK_ATM
14-0-29 | [INFO] TraderStatic created and added!: 
14-0-29 | [INFO] SetTradersSpawner: Ended
14-0-29 | [INFO] SetObjectSpawner: Started
14-0-29 | [INFO] SetObjectSpawner: Ended
14-0-29 | [INFO] DefaultTraderStock - Started
14-0-58 | [INFO] RunAutoCalculation - Started !
14-0-58 | [INFO] TraderPlusJsonLoader::SaveToFile Complete: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
14-0-58 | [INFO] RunAutoCalculation - Ended !
